ID,Title,Priority,Dependencies,Milestone,Epic,ParentEpic,Area,Status,Type,Description,Effort,StoryPoints,Sprint
ARC,[EPIC][ARC] Architecture,P0,none,M1 - Architecture locked,ARC,,architecture,backlog,epic,Figer les choix techniques et les contrats de base,M,18,Sprint-01
ARC-01,[TASK][ARC-01] Valider architecture cible web/mobile/api avec scope MVP,P0,none,M1 - Architecture locked,ARC,ARC,architecture,backlog,task,Valider architecture cible web/mobile/api avec scope MVP,M,5,Sprint-01
ARC-02,"[TASK][ARC-02] Definir conventions repo (naming, structure, quality gates)",P0,ARC-01,M1 - Architecture locked,ARC,ARC,architecture,backlog,task,"Definir conventions repo (naming, structure, quality gates)",S,3,Sprint-01
ARC-03,[TASK][ARC-03] Definir strategie de rendu web (SEO/prerender),P0,ARC-01,M1 - Architecture locked,ARC,ARC,architecture,backlog,task,Definir strategie de rendu web (SEO/prerender),S,3,Sprint-01
ARC-04,[TASK][ARC-04] Definir modeles de donnees MVP,P0,ARC-01,M1 - Architecture locked,ARC,ARC,architecture,backlog,task,Definir modeles de donnees MVP,M,5,Sprint-01
ARC-05,[TASK][ARC-05] Documenter ADRs et criteres anti-scope-creep,P1,"ARC-02, ARC-04",M1 - Architecture locked,ARC,ARC,architecture,backlog,task,Documenter ADRs et criteres anti-scope-creep,S,2,Sprint-01
LIB,[EPIC][LIB] Shared libraries,P0,"ARC, SET",M2 - Workspace bootstrapped,LIB,,shared-libs,backlog,epic,Factoriser les contrats et la logique transverse sans sur-ingenierie,M,15,Sprint-02
SET,[EPIC][SET] Workspace setup,P0,ARC,M2 - Workspace bootstrapped,SET,,workspace,backlog,epic,"Rendre le workspace buildable, testable et automatisable",L,28,Sprint-02
LIB-01,"[TASK][LIB-01] Creer packages/contracts (DTO, schema validation, versioning)",P0,"ARC-04, SET-02",M2 - Workspace bootstrapped,LIB,LIB,shared-libs,backlog,task,"Creer packages/contracts (DTO, schema validation, versioning)",M,5,Sprint-02
LIB-02,[TASK][LIB-02] Creer packages/domain (regles metier pures MVP),P0,"ARC-04, LIB-01",M2 - Workspace bootstrapped,LIB,LIB,shared-libs,backlog,task,Creer packages/domain (regles metier pures MVP),M,5,Sprint-02
SET-01,"[TASK][SET-01] Initialiser workspace Angular monorepo (apps/web, apps/mobile)",P0,ARC-02,M2 - Workspace bootstrapped,SET,SET,workspace,backlog,task,"Initialiser workspace Angular monorepo (apps/web, apps/mobile)",M,5,Sprint-02
SET-02,[TASK][SET-02] Initialiser apps/api NestJS et wiring de base,P0,ARC-02,M2 - Workspace bootstrapped,SET,SET,workspace,backlog,task,Initialiser apps/api NestJS et wiring de base,M,5,Sprint-02
SET-03,"[TASK][SET-03] Configurer quality gates (lint, format, typecheck)",P0,"SET-01, SET-02",M2 - Workspace bootstrapped,SET,SET,workspace,backlog,task,"Configurer quality gates (lint, format, typecheck)",S,3,Sprint-02
