"ID","Title","Priority","Dependencies","Milestone","Epic","ParentEpic","Area","Status","Type","Surface","Lane","Coupling","Wave","Effort","StoryPoints","Sprint","Description"
"ARC","[EPIC][ARC] Architecture","P0","none","M1 - Architecture locked","ARC","","architecture","backlog","epic","docs","Shared handoff","portfolio","Wave 0 - Cadrage","M","18","Sprint-01","Figer les choix techniques et les contrats de base"
"ARC-01","[TASK][ARC-01] Valider architecture cible web/mobile/api avec scope MVP","P0","none","M1 - Architecture locked","ARC","ARC","architecture","backlog","task","docs","Shared handoff","handoff","Wave 0 - Cadrage","M","5","Sprint-01","Valider architecture cible web/mobile/api avec scope MVP"
"ARC-02","[TASK][ARC-02] Definir conventions repo (naming, structure, quality gates)","P0","ARC-01","M1 - Architecture locked","ARC","ARC","architecture","backlog","task","docs","Shared handoff","handoff","Wave 0 - Cadrage","S","3","Sprint-01","Definir conventions repo (naming, structure, quality gates)"
"ARC-03","[TASK][ARC-03] Definir strategie de rendu web (SEO/prerender)","P0","ARC-01","M1 - Architecture locked","ARC","ARC","architecture","backlog","task","docs","Shared handoff","handoff","Wave 0 - Cadrage","S","3","Sprint-01","Definir strategie de rendu web (SEO/prerender)"
"ARC-04","[TASK][ARC-04] Definir modeles de donnees MVP","P0","ARC-01","M1 - Architecture locked","ARC","ARC","architecture","backlog","task","docs","Shared handoff","handoff","Wave 0 - Cadrage","M","5","Sprint-01","Definir modeles de donnees MVP"
"ARC-05","[TASK][ARC-05] Documenter ADRs et criteres anti-scope-creep","P1","ARC-02, ARC-04","M1 - Architecture locked","ARC","ARC","architecture","backlog","task","docs","Shared handoff","handoff","Wave 0 - Cadrage","S","2","Sprint-01","Documenter ADRs et criteres anti-scope-creep"
"LIB","[EPIC][LIB] Shared libraries","P0","ARC, SET","M2 - Workspace bootstrapped","LIB","","shared-libs","backlog","epic","shared","Shared handoff","portfolio","Wave 1 - Socle","M","15","Sprint-02","Factoriser les contrats et la logique transverse sans sur-ingenierie"
"SET","[EPIC][SET] Workspace setup","P0","ARC","M2 - Workspace bootstrapped","SET","","workspace","backlog","epic","shared","Shared handoff","portfolio","Wave 1 - Socle","L","28","Sprint-02","Rendre le workspace buildable, testable et automatisable"
"LIB-01","[TASK][LIB-01] Creer packages/contracts (DTO, schema validation, versioning)","P0","ARC-04, SET-02","M2 - Workspace bootstrapped","LIB","LIB","shared-libs","backlog","task","shared","Shared handoff","handoff","Wave 1 - Socle","M","5","Sprint-02","Creer packages/contracts (DTO, schema validation, versioning)"
"LIB-02","[TASK][LIB-02] Creer packages/domain (regles metier pures MVP)","P0","ARC-04, LIB-01","M2 - Workspace bootstrapped","LIB","LIB","shared-libs","backlog","task","shared","Shared handoff","handoff","Wave 1 - Socle","M","5","Sprint-02","Creer packages/domain (regles metier pures MVP)"
"SET-01","[TASK][SET-01] Initialiser workspace Angular monorepo (apps/web, apps/mobile)","P0","ARC-02","M2 - Workspace bootstrapped","SET","SET","workspace","backlog","task","shared","Shared handoff","handoff","Wave 1 - Socle","M","5","Sprint-02","Initialiser workspace Angular monorepo (apps/web, apps/mobile)"
"SET-02","[TASK][SET-02] Initialiser apps/api NestJS et wiring de base","P0","ARC-02","M2 - Workspace bootstrapped","SET","SET","workspace","backlog","task","shared","Shared handoff","handoff","Wave 1 - Socle","M","5","Sprint-02","Initialiser apps/api NestJS et wiring de base"
"SET-03","[TASK][SET-03] Configurer quality gates (lint, format, typecheck)","P0","SET-01, SET-02","M2 - Workspace bootstrapped","SET","SET","workspace","backlog","task","shared","Shared handoff","handoff","Wave 1 - Socle","S","3","Sprint-02","Configurer quality gates (lint, format, typecheck)"
"SET-04","[TASK][SET-04] Configurer test runners unitaires + integration","P0","SET-01, SET-02","M2 - Workspace bootstrapped","SET","SET","workspace","backlog","task","shared","Shared handoff","handoff","Wave 1 - Socle","S","3","Sprint-02","Configurer test runners unitaires + integration"
