ID,Title,Priority,Dependencies,Milestone,Epic,Area,Status,Type,Description
ARC,"[EPIC][ARC] Architecture",P0,"none","M1 - Architecture locked",ARC,architecture,backlog,epic,"Figer les choix techniques et les contrats de base"
SET,"[EPIC][SET] Workspace setup",P0,"ARC","M2 - Workspace bootstrapped",SET,workspace,backlog,epic,"Rendre le workspace buildable, testable et automatisable"
LIB,"[EPIC][LIB] Shared libraries",P0,"ARC, SET","M2 - Workspace bootstrapped",LIB,shared-libs,backlog,epic,"Factoriser les contrats et la logique transverse sans sur-ingenierie"
WEB,"[EPIC][WEB] Website",P0,"SET, SUP","M5 - Core participant flows ready",WEB,website,backlog,epic,"Livrer le site vitrine MVP oriente conversion"
MOB,"[EPIC][MOB] Mobile shell",P0,"SET, LIB","M3 - Mobile shell ready",MOB,mobile-shell,backlog,epic,"Fournir l'ossature mobile Ionic/Capacitor prete pour les modules"
AUT,"[EPIC][AUT] Auth",P0,"SET, LIB, MOB","M4 - Auth ready",AUT,auth,backlog,epic,"Offrir une authentification securisee et consistente web/mobile"
DSH,"[EPIC][DSH] Dashboard",P0,"AUT, MOB, LIB","M5 - Core participant flows ready",DSH,dashboard,backlog,epic,"Proposer une page d'accueil participant avec synthese utile"
PRG,"[EPIC][PRG] Programs",P0,"AUT, MOB, LIB","M5 - Core participant flows ready",PRG,programs,backlog,epic,"Permettre consultation et suivi simple des programmes"
RES,"[EPIC][RES] Resources",P0,"AUT, MOB, LIB","M5 - Core participant flows ready",RES,resources,backlog,epic,"Offrir un acces simple a des ressources utiles aux participants"
ANN,"[EPIC][ANN] Announcements",P0,"AUT, MOB, DSH","M5 - Core participant flows ready",ANN,announcements,backlog,epic,"Diffuser annonces et mises a jour importantes"
SUP,"[EPIC][SUP] Support",P0,"SET, LIB, AUT","M5 - Core participant flows ready",SUP,support,backlog,epic,"Mettre en place un canal de support simple et fiable"
QAT,"[EPIC][QAT] QA",P0,"WEB, AUT, DSH, PRG, RES, ANN, SUP","M6 - QA ready",QAT,qa,backlog,epic,"Verifier la conformite fonctionnelle, qualite et robustesse du MVP"
DEP,"[EPIC][DEP] Deployment",P0,"QAT, WEB, MOB, SET","M7 - Pilot release ready",DEP,deployment,backlog,epic,"Preparer et executer un lancement pilote maitrise"
